Tablo 1
ATM ID;ATM Adı;Bölge;Marka;Model;Lokasyon;Alt Lokasyon;Açık Adres;İlçe;İl;Enlem;Boylam;En Yakın ATM 1;En Yakın ATM 2;En Yakın ATM 3;Nakit Merkezi;BANTAŞ PLANLI Hizmet Günleri;Kaset 1;Kaset 2;Kaset 3;Kaset 4;Kaset 5;Kaset 6;Kaset 7;Kaset 8;Maaş Ödemeli;ATM Yaşı;Zone
FA006;KADIRLI SUBE E-GISE;1 - AKDENIZ BÖLGESI;GRG;H68NL-806;Şube;Şube İçi;SAVRUN MAH. ATATÜRK CAD. NO:46/A KADİRLİ/OSMANİYE;Kadirli;OSMANİYE;37,370061;36,097842;FS634   ;FC467   ;FC455   ;ŞUBE;;200 TL;200 TL;100 TL;100 TL;;;;;Normal;9;3
FA018;07 ALANYA OTOGAR;1 - AKDENIZ BÖLGESI;HITACHI;I37DC0C;Offsite;Diğer;" Kızlarpınarı Mh. Ali Dizdaroğlu Caddesi Otogar Yanı   ALANYA/ANTALYA
";Alanya;ANTALYA;36,554247;31,978092;FD642   ;FD786   ;FB551   ;ALANYA;Pazartesi,Salı,Çarşamba,Perşembe,Cuma;100 $;200 TL;50 €;100 TL;;;;;Normal;6;1
FA023;59 ERGENE SIO OTOMOTIV;6 - MARMARA BÖLGESI;HITACHI;I37DC0C;Offsite;Finbor;ULAŞ BELDESİ ERGENE TEKİRDAĞ;Ergene;TEKİRDAĞ;41,227305;27,733767;FN426   ;FN979   ;FS982   ;ÇORLU;Pazartesi,Salı,Çarşamba,Perşembe,Cuma;200 TL;200 TL;100 TL;100 TL;;;;;Maaş Ödemeli;6;1
FA024;01 SEYHAN YESILEVLER 2;1 - AKDENIZ BÖLGESI;HITACHI;I37DC0C;Offsite;Diğer; Bahçelievler Mah. Mehmet Akif Ersoy Cad. No:30/B ;Seyhan;ADANA;37,000451;35,288303;FS929   ;FC501   ;FD041   ;ADANA;Pazartesi,Salı,Çarşamba,Perşembe,Cuma;200 TL;200 TL;100 TL;100 TL;;;;;Normal;1;1
FA025;01 SARICAM H.SABANCI OSB;1 - AKDENIZ BÖLGESI;GRG;H68N-806;Offsite;Diğer;Hacı Sabancı Org.San.Böl.İnönü Bulvarı AOSB Çarşı Avm Önü    SARIÇAM/ADANA;Sarıçam;ADANA;36,97175;35,591932;FC634   ;FA319   ;FC993   ;ADANA;Pazartesi,Salı,Çarşamba,Perşembe,Cuma;200 TL;200 TL;100 TL;100 TL;;;;;Normal;8;2
FA026;BATI ATASEHIR SUBE 2;6 - MARMARA BÖLGESI;GRG;H68V-824;Şube;Şube2;BARBOROS MAH. HALK CAD. BATI ATAŞEHİR NO:79 ATAŞEHİR/İSTANBUL;Ataşehir;İSTANBUL;40,987786;29,10087;FN837   ;FN478   ;FB606   ;ÜMRANİYE;;200 TL;200 TL;100 TL;100 TL;;;;;Normal;6;1
FA032;41 DARICA EMEK;6 - MARMARA BÖLGESI;GRG;H68V-824;Offsite;Diğer;Emek Mh. Fatih Sultan Mehmet Cd. No:110 Darıca Kocaeli;Darıca;KOCAELİ;40,794256;29,368341;FI358   ;FB445   ;FC901   ;MALTEPE;Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar;200 TL;200 TL;100 TL;100 TL;;;;;Normal;5;1
FA033;27 S.BEY KARATAS PO 2;4 - GÜNEYDOGU ANADOLU BÖLGESI;GRG;H68V-824;Offsite;Diğer;"Güneykent Mah. Üniversite Bulvarı Gaziantep Üniversite Karşısı No:345     ŞAHİNBEY/GAZİANTEP
";Şahinbey;GAZİANTEP;37,035122;37,318668;FS882   ;FD680   ;FI310   ;GAZİANTEP;Pazartesi,Salı,Çarşamba,Perşembe,Cuma;200 TL;200 TL;100 TL;100 TL;;;;;Normal;3;1
FA034;34 BAGCILAR GUNGOREN CD. 1;6 - MARMARA BÖLGESI;HITACHI;I37DC0C;Offsite;Diğer;Merkez Mah. Güngören Cad. No:1 BAĞCILAR İSTANBUL;Bağcılar;İSTANBUL;41,03315;28,863547;FD076   ;FB527   ;FD622   ;GİYİMKENT;Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar;200 TL;200 TL;100 TL;100 TL;;;;;Normal;4;1
FA037;34 SISLI KRISTAL KULE 1;6 - MARMARA BÖLGESI;GRG;H68V-824;Offsite;Banka Binası; ESENTEPE MAH. BÜYÜKDERE CAD. NO:215  ŞİŞLİ/İSTANBUL;Şişli;İSTANBUL;41,082608;29,008707;;;;MASLAK;Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar;200 TL;200 TL;50 €;100 $;100 TL;;;;Normal;7;1
