iter	Passed	Remaining
0	0	173
1	1	152
2	2	138
3	2	129
4	3	124
5	3	125
6	4	122
7	5	120
8	5	118
9	6	116
10	6	114
11	7	112
12	7	111
13	8	110
14	8	109
15	9	110
16	10	111
17	10	111
18	11	110
19	12	110
20	12	110
21	13	109
22	14	109
23	14	108
24	15	108
25	16	107
26	16	106
27	17	105
28	17	104
29	18	104
30	18	103
31	19	102
32	20	102
33	20	101
34	21	100
35	21	99
36	22	98
37	22	97
38	23	97
39	24	96
40	24	95
41	25	95
42	25	94
43	26	93
44	27	93
45	27	92
46	28	92
47	28	91
48	29	91
49	30	90
50	30	90
51	31	89
52	32	88
53	32	88
54	33	88
55	34	87
56	34	86
57	35	86
58	35	85
59	36	84
60	36	84
61	37	83
62	38	82
63	38	82
64	39	81
65	39	80
66	40	79
67	40	79
68	41	78
69	42	78
70	42	78
71	45	80
72	46	81
73	47	80
74	48	80
75	48	79
76	49	78
77	49	77
78	50	77
79	50	76
80	51	75
81	52	74
82	52	74
83	53	73
84	53	72
85	54	72
86	54	71
87	55	70
88	56	69
89	56	69
90	57	68
91	57	67
92	58	67
93	59	66
94	59	65
95	60	65
96	60	64
97	61	63
98	62	63
99	62	62
100	63	61
101	63	61
102	64	60
103	65	60
104	66	59
105	66	59
106	67	58
107	67	57
108	68	57
109	69	56
110	69	55
111	70	55
112	70	54
113	71	53
114	71	53
115	72	52
116	73	51
117	73	51
118	74	50
119	74	49
120	75	49
121	76	48
122	76	48
123	77	47
124	78	46
125	78	46
126	79	45
127	79	44
128	80	44
129	81	43
130	81	43
131	82	42
132	82	41
133	83	41
134	83	40
135	84	39
136	85	39
137	85	38
138	86	37
139	86	37
140	87	36
141	87	35
142	88	35
143	89	34
144	89	34
145	90	33
146	91	32
147	91	32
148	92	31
149	92	30
150	93	30
151	94	29
152	94	29
153	95	28
154	95	27
155	96	27
156	96	26
157	97	25
158	97	25
159	98	24
160	99	23
161	99	23
162	100	22
163	100	22
164	101	21
165	101	20
166	102	20
167	103	19
168	103	18
169	104	18
170	104	17
171	105	17
172	105	16
173	106	15
174	107	15
175	107	14
176	108	14
177	108	13
178	109	12
179	110	12
180	110	11
181	111	11
182	112	10
183	112	9
184	113	9
185	113	8
186	114	7
187	115	7
188	115	6
189	116	6
190	116	5
191	117	4
192	117	4
193	118	3
194	119	3
195	119	2
196	120	1
197	120	1
198	121	0
199	121	0
