terminal_id,tarih,ariza_kodu
T-00001,2025-01-07,CCDM_JAM
T-00001,2025-01-10,EPP_FAIL
T-00001,2025-01-28,CARD_JAM
T-00001,2025-02-07,EPP_FAIL
T-00001,2025-04-15,DISPENSER_FAIL
T-00001,2025-04-30,PRINTER_ERROR
T-00001,2025-06-01,NETWORK_DOWN
T-00001,2025-09-21,NETWORK_DOWN
T-00001,2025-10-11,EPP_FAIL
T-00001,2025-10-17,CCDM_JAM
T-00001,2025-10-21,PRINTER_ERROR
T-00001,2025-11-12,DISPENSER_FAIL
T-00001,2025-11-22,CARD_JAM
T-00001,2025-11-29,EPP_FAIL
T-00001,2025-12-09,PRINTER_ERROR
T-00001,2025-12-23,NETWORK_DOWN
T-00002,2025-02-04,CARD_JAM
T-00002,2025-04-06,NETWORK_DOWN
T-00002,2025-04-08,PRINTER_ERROR
T-00002,2025-05-21,CCDM_JAM
T-00002,2025-05-24,EPP_FAIL
T-00002,2025-06-23,NETWORK_DOWN
T-00002,2025-07-23,PRINTER_ERROR
T-00002,2025-07-31,EPP_FAIL
T-00002,2025-09-07,NETWORK_DOWN
T-00002,2025-09-09,CCDM_JAM
T-00002,2025-10-23,CARD_JAM
T-00002,2025-10-26,PRINTER_ERROR
T-00002,2025-11-23,CARD_JAM
T-00002,2025-11-26,EPP_FAIL
T-00002,2025-12-04,EPP_FAIL
T-00003,2025-01-05,PRINTER_ERROR
T-00003,2025-01-10,DISPENSER_FAIL
T-00003,2025-01-12,EPP_FAIL
T-00003,2025-01-14,CARD_JAM
T-00003,2025-01-15,CCDM_JAM
T-00003,2025-01-17,EPP_FAIL
T-00003,2025-01-21,CARD_JAM
T-00003,2025-01-23,NETWORK_DOWN
T-00003,2025-01-24,EPP_FAIL
T-00003,2025-01-29,CARD_JAM
T-00003,2025-02-01,CCDM_JAM
T-00003,2025-02-02,PRINTER_ERROR
T-00003,2025-02-15,CARD_JAM
T-00003,2025-02-16,CARD_JAM
T-00003,2025-02-17,DISPENSER_FAIL
T-00003,2025-02-24,CCDM_JAM
T-00003,2025-02-25,NETWORK_DOWN
T-00003,2025-02-27,CARD_JAM
T-00003,2025-02-28,CARD_JAM
T-00003,2025-03-01,EPP_FAIL
T-00003,2025-03-04,CARD_JAM
T-00003,2025-03-06,NETWORK_DOWN
T-00003,2025-03-17,CCDM_JAM
T-00003,2025-03-18,DISPENSER_FAIL
T-00003,2025-03-23,DISPENSER_FAIL
T-00003,2025-03-25,EPP_FAIL
T-00003,2025-03-28,CCDM_JAM
T-00003,2025-03-29,PRINTER_ERROR
T-00003,2025-03-31,CARD_JAM
T-00003,2025-04-03,CCDM_JAM
T-00003,2025-04-09,DISPENSER_FAIL
T-00003,2025-04-10,PRINTER_ERROR
T-00003,2025-04-14,NETWORK_DOWN
T-00003,2025-04-15,CARD_JAM
T-00003,2025-04-18,CARD_JAM
T-00003,2025-04-24,CARD_JAM
T-00003,2025-04-28,DISPENSER_FAIL
T-00003,2025-04-30,DISPENSER_FAIL
T-00003,2025-05-08,PRINTER_ERROR
T-00003,2025-05-09,EPP_FAIL
T-00003,2025-05-22,PRINTER_ERROR
T-00003,2025-05-25,NETWORK_DOWN
T-00003,2025-05-29,EPP_FAIL
T-00003,2025-05-30,CARD_JAM
