terminal_id,tarih,ikmal_tutar,kaset_1,kaset_2,kaset_3
T-00001,2025-01-01,516837,258418,155051,103367
T-00001,2025-01-08,471024,235512,141307,94204
T-00001,2025-01-15,590886,295443,177265,118177
T-00001,2025-01-22,464105,232052,139231,92821
T-00001,2025-01-29,594940,297470,178482,118988
T-00001,2025-02-05,536370,268185,160911,107274
T-00001,2025-02-12,520145,260072,156043,104029
T-00001,2025-02-19,447564,223782,134269,89512
T-00001,2025-02-26,498457,249228,149537,99691
T-00001,2025-03-05,342956,171478,102887,68591
T-00001,2025-03-12,440430,220215,132129,88086
T-00001,2025-03-19,407924,203962,122377,81584
T-00001,2025-03-26,415486,207743,124645,83097
T-00001,2025-04-02,379102,189551,113730,75820
T-00001,2025-04-09,464710,232355,139413,92942
T-00001,2025-04-16,485872,242936,145761,97174
T-00001,2025-04-23,441722,220861,132516,88344
T-00001,2025-04-30,489003,244501,146700,97800
T-00001,2025-05-07,508106,254053,152431,101621
T-00001,2025-05-14,437663,218831,131299,87532
T-00001,2025-05-21,437586,218793,131276,87517
T-00001,2025-05-28,614641,307320,184392,122928
T-00001,2025-06-04,404686,202343,121405,80937
T-00001,2025-06-11,540346,270173,162103,108069
T-00001,2025-06-18,496069,248034,148820,99213
T-00001,2025-06-25,339609,169804,101882,67921
T-00001,2025-07-02,495203,247601,148561,99040
T-00001,2025-07-09,534280,267140,160284,106856
T-00001,2025-07-16,472655,236327,141796,94531
T-00001,2025-07-23,459275,229637,137782,91855
T-00001,2025-07-30,429063,214531,128718,85812
T-00001,2025-08-06,447764,223882,134329,89552
T-00001,2025-08-13,505792,252896,151737,101158
T-00001,2025-08-20,353796,176898,106138,70759
T-00001,2025-08-27,453216,226608,135964,90643
T-00001,2025-09-03,432160,216080,129648,86432
T-00001,2025-09-10,555386,277693,166615,111077
T-00001,2025-09-17,548191,274095,164457,109638
T-00001,2025-09-24,458690,229345,137607,91738
T-00001,2025-10-01,504900,252450,151470,100980
T-00001,2025-10-08,446427,223213,133928,89285
T-00001,2025-10-15,467604,233802,140281,93520
T-00001,2025-10-22,394693,197346,118408,78938
T-00001,2025-10-29,539623,269811,161887,107924
T-00001,2025-11-05,475804,237902,142741,95160
T-00001,2025-11-12,553404,276702,166021,110680
T-00001,2025-11-19,434454,217227,130336,86890
T-00001,2025-11-26,507074,253537,152122,101414
T-00001,2025-12-03,478415,239207,143524,95683
T-00001,2025-12-10,593889,296944,178166,118777
T-00001,2025-12-17,540300,270150,162090,108060
T-00001,2025-12-24,487280,243640,146184,97456
T-00001,2025-12-31,487620,243810,146286,97524
T-00002,2025-01-01,355845,177922,106753,71169
T-00002,2025-01-19,534158,267079,160247,106831
T-00002,2025-02-06,445514,222757,133654,89102
T-00002,2025-02-24,576616,288308,172984,115323
T-00002,2025-03-14,466711,233355,140013,93342
T-00002,2025-04-01,514382,257191,154314,102876
T-00002,2025-04-19,482081,241040,144624,96416
T-00002,2025-05-07,395699,197849,118709,79139
T-00002,2025-05-25,526853,263426,158055,105370
T-00002,2025-06-12,399361,199680,119808,79872
T-00002,2025-06-30,480936,240468,144280,96187
T-00002,2025-07-18,494734,247367,148420,98946
T-00002,2025-08-05,650444,325222,195133,130088
T-00002,2025-08-23,501338,250669,150401,100267
T-00002,2025-09-10,504983,252491,151495,100996
T-00002,2025-09-28,694329,347164,208298,138865
T-00002,2025-10-16,504360,252180,151308,100872
T-00002,2025-11-03,593911,296955,178173,118782
T-00002,2025-11-21,567157,283578,170147,113431
T-00002,2025-12-09,613682,306841,184104,122736
T-00002,2025-12-27,673584,336792,202075,134716
T-00003,2025-01-01,333756,166878,100126,66751
T-00003,2025-01-08,358701,179350,107610,71740
T-00003,2025-01-15,362395,181197,108718,72479
T-00003,2025-01-22,300820,150410,90246,60164
T-00003,2025-01-29,329536,164768,98860,65907
T-00003,2025-02-05,419847,209923,125954,83969
T-00003,2025-02-12,483136,241568,144940,96627
T-00003,2025-02-19,345944,172972,103783,69188
T-00003,2025-02-26,439834,219917,131950,87966
T-00003,2025-03-05,319625,159812,95887,63925
T-00003,2025-03-12,468859,234429,140657,93771
T-00003,2025-03-19,297479,148739,89243,59495
T-00003,2025-03-26,407281,203640,122184,81456
T-00003,2025-04-02,437971,218985,131391,87594
T-00003,2025-04-09,314357,157178,94307,62871
T-00003,2025-04-16,422690,211345,126807,84538
T-00003,2025-04-23,406728,203364,122018,81345
T-00003,2025-04-30,412371,206185,123711,82474
T-00003,2025-05-07,405656,202828,121696,81131
