terminal_id,tarih,toplama_tutar
T-00001,2025-01-08,307292
T-00001,2025-01-22,281842
T-00001,2025-02-05,275050
T-00001,2025-02-19,275159
T-00001,2025-03-05,238818
T-00001,2025-03-19,297669
T-00001,2025-04-02,330898
T-00001,2025-04-16,247481
T-00001,2025-04-30,255382
T-00001,2025-05-14,280181
T-00001,2025-05-28,288210
T-00001,2025-06-11,253366
T-00001,2025-06-25,250268
T-00001,2025-07-09,293545
T-00001,2025-07-23,245929
T-00001,2025-08-06,319108
T-00001,2025-08-20,297953
T-00001,2025-09-03,306252
T-00001,2025-09-17,264380
T-00001,2025-10-01,316754
T-00001,2025-10-15,256671
T-00001,2025-10-29,327741
T-00001,2025-11-12,299036
T-00001,2025-11-26,332987
T-00001,2025-12-10,212994
T-00001,2025-12-24,279970
T-00002,2025-01-08,297517
T-00002,2025-01-22,349157
T-00002,2025-02-05,288434
T-00002,2025-02-19,288936
T-00002,2025-03-05,314200
T-00002,2025-03-19,319813
T-00002,2025-04-02,333666
T-00002,2025-04-16,282843
T-00002,2025-04-30,292272
T-00002,2025-05-14,313207
T-00002,2025-05-28,304355
T-00002,2025-06-11,297063
T-00002,2025-06-25,291403
T-00002,2025-07-09,279794
T-00002,2025-07-23,316491
T-00002,2025-08-06,309510
T-00002,2025-08-20,312034
T-00002,2025-09-03,245830
T-00002,2025-09-17,306032
T-00002,2025-10-01,298348
T-00002,2025-10-15,313373
T-00002,2025-10-29,268648
T-00002,2025-11-12,327073
T-00002,2025-11-26,276536
T-00002,2025-12-10,261555
T-00002,2025-12-24,322052
T-00003,2025-01-08,237543
T-00003,2025-01-22,236812
T-00003,2025-02-05,213575
T-00003,2025-02-19,227625
T-00003,2025-03-05,240549
T-00003,2025-03-19,239542
T-00003,2025-04-02,206106
T-00003,2025-04-16,242185
T-00003,2025-04-30,219205
T-00003,2025-05-14,218398
T-00003,2025-05-28,207180
T-00003,2025-06-11,253712
T-00003,2025-06-25,257858
T-00003,2025-07-09,279812
T-00003,2025-07-23,214278
T-00003,2025-08-06,243223
T-00003,2025-08-20,235505
T-00003,2025-09-03,299178
T-00003,2025-09-17,210012
T-00003,2025-10-01,251993
T-00003,2025-10-15,215283
T-00003,2025-10-29,255342
T-00003,2025-11-12,239273
T-00003,2025-11-26,238815
T-00003,2025-12-10,243615
T-00003,2025-12-24,259985
T-00004,2025-01-08,176652
T-00004,2025-01-22,176652
T-00004,2025-02-05,177590
T-00004,2025-02-19,184027
T-00004,2025-03-05,162703
T-00004,2025-03-19,155016
T-00004,2025-04-02,159845
T-00004,2025-04-16,206886
T-00004,2025-04-30,136629
T-00004,2025-05-14,140906
T-00004,2025-05-28,186294
T-00004,2025-06-11,149893
T-00004,2025-06-25,179417
T-00004,2025-07-09,171636
T-00004,2025-07-23,157053
T-00004,2025-08-06,178649
T-00004,2025-08-20,171132
T-00004,2025-09-03,182320
T-00004,2025-09-17,166072
T-00004,2025-10-01,182544
T-00004,2025-10-15,162380
T-00004,2025-10-29,157024
T-00004,2025-11-12,174803
T-00004,2025-11-26,146817
T-00004,2025-12-10,203652
T-00004,2025-12-24,142474
T-00005,2025-01-08,263716
T-00005,2025-01-22,257493
T-00005,2025-02-05,254727
T-00005,2025-02-19,330127
T-00005,2025-03-05,271311
T-00005,2025-03-19,243050
T-00005,2025-04-02,255944
T-00005,2025-04-16,266765
T-00005,2025-04-30,272864
T-00005,2025-05-14,328811
T-00005,2025-05-28,228399
T-00005,2025-06-11,291774
T-00005,2025-06-25,277893
T-00005,2025-07-09,307911
T-00005,2025-07-23,309330
T-00005,2025-08-06,301668
T-00005,2025-08-20,267902
T-00005,2025-09-03,283206
T-00005,2025-09-17,267011
T-00005,2025-10-01,277622
T-00005,2025-10-15,307225
T-00005,2025-10-29,284396
T-00005,2025-11-12,292999
T-00005,2025-11-26,300690
T-00005,2025-12-10,343181
T-00005,2025-12-24,316667
T-00006,2025-01-08,433636
T-00006,2025-01-22,411092
T-00006,2025-02-05,402000
T-00006,2025-02-19,424847
T-00006,2025-03-05,374453
T-00006,2025-03-19,387316
T-00006,2025-04-02,348918
T-00006,2025-04-16,399291
T-00006,2025-04-30,468194
T-00006,2025-05-14,407224
T-00006,2025-05-28,396222
T-00006,2025-06-11,429189
T-00006,2025-06-25,403562
T-00006,2025-07-09,391630
T-00006,2025-07-23,411985
T-00006,2025-08-06,428318
T-00006,2025-08-20,447138
T-00006,2025-09-03,443590
T-00006,2025-09-17,375021
T-00006,2025-10-01,321345
T-00006,2025-10-15,377027
T-00006,2025-10-29,484547
T-00006,2025-11-12,371344
T-00006,2025-11-26,482723
T-00006,2025-12-10,388857
T-00006,2025-12-24,403326
T-00007,2025-01-08,166391
T-00007,2025-01-22,177831
T-00007,2025-02-05,169033
T-00007,2025-02-19,158103
T-00007,2025-03-05,179129
T-00007,2025-03-19,186105
T-00007,2025-04-02,157093
T-00007,2025-04-16,199614
T-00007,2025-04-30,182881
T-00007,2025-05-14,204455
T-00007,2025-05-28,197873
T-00007,2025-06-11,213475
T-00007,2025-06-25,208069
T-00007,2025-07-09,194196
T-00007,2025-07-23,201224
T-00007,2025-08-06,159920
T-00007,2025-08-20,195734
T-00007,2025-09-03,156056
T-00007,2025-09-17,140905
T-00007,2025-10-01,189700
T-00007,2025-10-15,178311
T-00007,2025-10-29,152572
T-00007,2025-11-12,146850
T-00007,2025-11-26,183797
T-00007,2025-12-10,140406
T-00007,2025-12-24,175422
T-00008,2025-01-08,234492
T-00008,2025-01-22,214576
T-00008,2025-02-05,224782
T-00008,2025-02-19,237601
T-00008,2025-03-05,208265
T-00008,2025-03-19,202782
T-00008,2025-04-02,199104
T-00008,2025-04-16,226997
T-00008,2025-04-30,231040
T-00008,2025-05-14,240092
T-00008,2025-05-28,214200
T-00008,2025-06-11,219978
T-00008,2025-06-25,191926
T-00008,2025-07-09,263409
T-00008,2025-07-23,239241
T-00008,2025-08-06,251524
T-00008,2025-08-20,204585
T-00008,2025-09-03,230802
T-00008,2025-09-17,194028
T-00008,2025-10-01,201735
T-00008,2025-10-15,246142
T-00008,2025-10-29,227950
T-00008,2025-11-12,260653
T-00008,2025-11-26,202737
T-00008,2025-12-10,206393
T-00008,2025-12-24,247150
T-00009,2025-01-08,453151
T-00009,2025-01-22,408102
T-00009,2025-02-05,391934
T-00009,2025-02-19,393352
T-00009,2025-03-05,426844
T-00009,2025-03-19,390065
T-00009,2025-04-02,450489
T-00009,2025-04-16,433261
T-00009,2025-04-30,357382
T-00009,2025-05-14,400573
T-00009,2025-05-28,396256
T-00009,2025-06-11,359178
T-00009,2025-06-25,440142
T-00009,2025-07-09,456395
T-00009,2025-07-23,426165
T-00009,2025-08-06,401036
T-00009,2025-08-20,392088
T-00009,2025-09-03,472169
T-00009,2025-09-17,464851
T-00009,2025-10-01,490843
T-00009,2025-10-15,394813
T-00009,2025-10-29,420289
T-00009,2025-11-12,403089
T-00009,2025-11-26,422321
T-00009,2025-12-10,439914
T-00009,2025-12-24,411330
T-00010,2025-01-08,329296
T-00010,2025-01-22,325980
T-00010,2025-02-05,344397
T-00010,2025-02-19,306471
T-00010,2025-03-05,303872
T-00010,2025-03-19,284863
T-00010,2025-04-02,305664
T-00010,2025-04-16,369909
T-00010,2025-04-30,309858
T-00010,2025-05-14,343075
T-00010,2025-05-28,324264
T-00010,2025-06-11,269958
T-00010,2025-06-25,327523
T-00010,2025-07-09,336846
T-00010,2025-07-23,388735
T-00010,2025-08-06,324663
T-00010,2025-08-20,289876
T-00010,2025-09-03,289679
T-00010,2025-09-17,301667
T-00010,2025-10-01,327370
T-00010,2025-10-15,349669
T-00010,2025-10-29,308250
T-00010,2025-11-12,302724
T-00010,2025-11-26,340781
T-00010,2025-12-10,344349
T-00010,2025-12-24,329897
T-00011,2025-01-08,206482
T-00011,2025-01-22,183992
T-00011,2025-02-05,238444
T-00011,2025-02-19,230065
T-00011,2025-03-05,198611
T-00011,2025-03-19,226691
T-00011,2025-04-02,240042
T-00011,2025-04-16,228810
T-00011,2025-04-30,234351
T-00011,2025-05-14,253910
T-00011,2025-05-28,212358
T-00011,2025-06-11,220984
T-00011,2025-06-25,225047
T-00011,2025-07-09,185922
T-00011,2025-07-23,220263
T-00011,2025-08-06,201149
T-00011,2025-08-20,242222
T-00011,2025-09-03,194930
T-00011,2025-09-17,216285
T-00011,2025-10-01,217990
T-00011,2025-10-15,190159
T-00011,2025-10-29,217696
T-00011,2025-11-12,222584
T-00011,2025-11-26,239381
T-00011,2025-12-10,249012
T-00011,2025-12-24,199035
T-00012,2025-01-08,462925
T-00012,2025-01-22,459089
T-00012,2025-02-05,469315
T-00012,2025-02-19,433800
T-00012,2025-03-05,458692
T-00012,2025-03-19,435191
T-00012,2025-04-02,465097
T-00012,2025-04-16,529413
T-00012,2025-04-30,338202
T-00012,2025-05-14,517544
T-00012,2025-05-28,444429
T-00012,2025-06-11,395426
T-00012,2025-06-25,424404
T-00012,2025-07-09,540839
T-00012,2025-07-23,518716
T-00012,2025-08-06,493411
T-00012,2025-08-20,436061
T-00012,2025-09-03,403957
T-00012,2025-09-17,493012
T-00012,2025-10-01,442950
T-00012,2025-10-15,480644
T-00012,2025-10-29,513552
T-00012,2025-11-12,410449
T-00012,2025-11-26,487494
T-00012,2025-12-10,475208
T-00012,2025-12-24,402623
T-00013,2025-01-08,179689
T-00013,2025-01-22,162895
T-00013,2025-02-05,165323
T-00013,2025-02-19,221764
T-00013,2025-03-05,187766
T-00013,2025-03-19,188886
T-00013,2025-04-02,192449
T-00013,2025-04-16,195435
T-00013,2025-04-30,164038
T-00013,2025-05-14,186111
T-00013,2025-05-28,179366
T-00013,2025-06-11,171050
T-00013,2025-06-25,157319
T-00013,2025-07-09,194454
T-00013,2025-07-23,208832
T-00013,2025-08-06,177753
T-00013,2025-08-20,199414
T-00013,2025-09-03,175277
T-00013,2025-09-17,172095
T-00013,2025-10-01,209577
T-00013,2025-10-15,239509
T-00013,2025-10-29,173325
T-00013,2025-11-12,191913
T-00013,2025-11-26,211390
T-00013,2025-12-10,188936
T-00013,2025-12-24,223964
T-00014,2025-01-08,244970
T-00014,2025-01-22,244726
T-00014,2025-02-05,213646
T-00014,2025-02-19,228685
T-00014,2025-03-05,244700
T-00014,2025-03-19,199633
T-00014,2025-04-02,244467
T-00014,2025-04-16,255301
T-00014,2025-04-30,240979
T-00014,2025-05-14,192131
T-00014,2025-05-28,235185
T-00014,2025-06-11,200983
T-00014,2025-06-25,205492
T-00014,2025-07-09,229488
T-00014,2025-07-23,231052
T-00014,2025-08-06,252018
T-00014,2025-08-20,232614
T-00014,2025-09-03,220389
T-00014,2025-09-17,235517
T-00014,2025-10-01,259332
T-00014,2025-10-15,209788
T-00014,2025-10-29,220268
T-00014,2025-11-12,234928
T-00014,2025-11-26,196172
T-00014,2025-12-10,250897
T-00014,2025-12-24,254948
T-00015,2025-01-08,350495
T-00015,2025-01-22,296053
T-00015,2025-02-05,351847
T-00015,2025-02-19,291137
T-00015,2025-03-05,298543
T-00015,2025-03-19,278979
T-00015,2025-04-02,283613
T-00015,2025-04-16,314395
T-00015,2025-04-30,276530
T-00015,2025-05-14,300626
T-00015,2025-05-28,327930
T-00015,2025-06-11,318947
T-00015,2025-06-25,322328
T-00015,2025-07-09,382626
T-00015,2025-07-23,290887
T-00015,2025-08-06,290135
T-00015,2025-08-20,343726
T-00015,2025-09-03,289666
T-00015,2025-09-17,321681
T-00015,2025-10-01,326643
T-00015,2025-10-15,260636
T-00015,2025-10-29,362369
T-00015,2025-11-12,295289
T-00015,2025-11-26,317474
T-00015,2025-12-10,368953
T-00015,2025-12-24,282676
T-00016,2025-01-08,188373
T-00016,2025-01-22,179217
T-00016,2025-02-05,188689
T-00016,2025-02-19,236759
T-00016,2025-03-05,179749
T-00016,2025-03-19,201887
T-00016,2025-04-02,182209
T-00016,2025-04-16,209954
T-00016,2025-04-30,198587
T-00016,2025-05-14,211099
T-00016,2025-05-28,201260
T-00016,2025-06-11,191772
T-00016,2025-06-25,173559
T-00016,2025-07-09,181565
T-00016,2025-07-23,213162
T-00016,2025-08-06,189877
T-00016,2025-08-20,203104
T-00016,2025-09-03,229885
T-00016,2025-09-17,193141
T-00016,2025-10-01,187198
T-00016,2025-10-15,200489
T-00016,2025-10-29,180562
T-00016,2025-11-12,209291
T-00016,2025-11-26,191513
T-00016,2025-12-10,211586
T-00016,2025-12-24,178436
T-00017,2025-01-08,281337
T-00017,2025-01-22,242192
T-00017,2025-02-05,295661
T-00017,2025-02-19,254278
T-00017,2025-03-05,267225
T-00017,2025-03-19,307907
T-00017,2025-04-02,335496
T-00017,2025-04-16,239997
T-00017,2025-04-30,281909
T-00017,2025-05-14,293170
T-00017,2025-05-28,324087
T-00017,2025-06-11,292905
T-00017,2025-06-25,299335
T-00017,2025-07-09,301401
T-00017,2025-07-23,303278
T-00017,2025-08-06,323984
T-00017,2025-08-20,282062
T-00017,2025-09-03,286827
T-00017,2025-09-17,307007
T-00017,2025-10-01,229688
T-00017,2025-10-15,214555
T-00017,2025-10-29,305453
T-00017,2025-11-12,255815
