Tablo 1
;;;;;;;;;;;;;;
ATM Term ID;ATM Adı;model;Nakit Merkezi;Planlı Hizmet Günleri;Zone;KM;PLANLI ATM NAKİT İKMAL;PLANLI FLM;SLM;PLANLI ATM MADENİ İKMAL;PLANLI ATM PARA TOPLAMA;PLANLI ATM PARA TOPLAMA + İKMAL;PLANLI ATM PARA TOPLAMA + FLM;
FA621;06 MAMAK NOKTA AVM;I37DC0C;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA024;01 SEYHAN YESILEVLER 2;I37DC0C;ADANA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FB527;34 BAGCILAR MERKEZ;I37DC0C;GİYİMKENT;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA682;34 UMRANIYE CAMLIK MH1;I37DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA336;10 EDREMIT KORFEZ HAST;H68N;BALIKESİR;SALI - PERŞEMBE;3;89;3.789,98 ;3.789,98 ;4.291,56 ;3.789,98 ;3.789,98 ;3.789,98 ;3.789,98 ;
FA681;34 UMRANIYE CAMLIK MH2;I37DC0C;ÜMRANİYE;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FC771;23 MERKEZ ELYSIUM PARK AVM;H68NL;ELAZIĞ;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA931;06 ALTINDAG KARAPURCEK;H68V-824;ANKARA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
FA777;81 AKCAKOCA CINAR BORU;I37DC0C;ZONGULDAK;PAZARTESİ - ÇARŞAMBA - CUMA;3;87;3.718,34 ;3.718,34 ;4.219,92 ;3.718,34 ;3.718,34 ;3.718,34 ;3.718,34 ;
FB603;07 MURATPASA LAURA AVM;H68V-824;ANTALYA;PAZARTESİ - SALI - ÇARŞAMBA - PERŞEMBE - CUMA - CUMARTESİ - PAZAR;1;10;602,00 ;602,00 ;1.103,58 ;602,00 ;602,00 ;602,00 ;602,00 ;
